Question_code,Question,Theme_code,Theme,Driver,Image_Icon,Statement,Description
value01Q01,Q01,value01,Integrity,Models professional,https://postimg.cc/vxgtmn5L,"Ability to demonstrate sound moral and ethical principles at work. Ability to display and apply moral judgment and character, honesty and leadership values",Models professionalism and commitment.
value01Q02,Q02,value01,Integrity,Supports an enviorme,https://postimg.cc/vxgtmn5L,"Ability to demonstrate sound moral and ethical principles at work. Ability to display and apply moral judgment and character, honesty and leadership values",Supports an environment of trust by admitting own mistakes and taking responsibility for ones actions
value01Q03,Q03,value01,Integrity,Establishes open,https://postimg.cc/vxgtmn5L,"Ability to demonstrate sound moral and ethical principles at work. Ability to display and apply moral judgment and character, honesty and leadership values",Establishes open and honest communication with others.
value02Q01,Q01,value02,Thrive on Excellence,Continues to improve,https://postimg.cc/0rBtqk70,Ability to take initiative and assume risk to create value for the organisation. Ability to display commitment and passion for their work.,"Continues to improve processes, questioning current models and identifying areas of improvement."
value02Q02,Q02,value02,Thrive on Excellence,Strives to develop ,https://postimg.cc/0rBtqk70,Ability to take initiative and assume risk to create value for the organisation. Ability to display commitment and passion for their work.,Strives to develop own capabilities in order to ensure he/she has the skills required to achieve organisational objectives.
value02Q03,Q03,value02,Thrive on Excellence,Stays updated on,https://postimg.cc/0rBtqk70,Ability to take initiative and assume risk to create value for the organisation. Ability to display commitment and passion for their work.,Stays updated on industry practices and innovations and tries to implement new ideas in order to improve performance and delivery.
value03Q01,Q01,value03,Collaboration,Effectively works with,https://postimg.cc/XXp8LRtG,Ability to interface productively with other colleagues and work jointly towards the organisational goals.,Effectively works with others to ensure successful accomplishment of goals /tasks.
value03Q02,Q02,value03,Collaboration,Respects people with,https://postimg.cc/XXp8LRtG,Ability to interface productively with other colleagues and work jointly towards the organisational goals.,"Respects people with diverse backgrounds, and embraces differences for better decision making."
value03Q03,Q03,value03,Collaboration,Models cooperation,https://postimg.cc/XXp8LRtG,Ability to interface productively with other colleagues and work jointly towards the organisational goals.,Models cooperation and team work by creating opportunities for self and others to improve working relationships and work outcomes.
value04Q01,Q01,value04,Bias to Action,Has high levels ,https://postimg.cc/LnPVKz9m,Ability to be rational in working style and taking smart risks. Being open to possible failure and keeping oneself nimble by minimising complexity and finding time to simplify. Ability to accomplish more with less.,Has high levels of ownership and accountability by being execution focussed to ensure quality delivery on time.
value04Q02,Q02,value04,Bias to Action,Minimises complexity ,https://postimg.cc/LnPVKz9m,Ability to be rational in working style and taking smart risks. Being open to possible failure and keeping oneself nimble by minimising complexity and finding time to simplify. Ability to accomplish more with less.,Minimises complexity in processes by simplyfying tasks to achieve end objective.
value04Q03,Q03,value04,Bias to Action,Maintains Composure,https://postimg.cc/LnPVKz9m,Ability to be rational in working style and taking smart risks. Being open to possible failure and keeping oneself nimble by minimising complexity and finding time to simplify. Ability to accomplish more with less.,Maintains composure and direction in stressful situations.
value05Q01,Q01,value05,Positive Work Place,Creates a work,https://postimg.cc/k2FFDqRZ,Ability to work on some of the most challenging problems around; ability to contribute to creating a work environment that drives enthusiasm for our work. Ability to provide care and support to fellow colleagues.,Creates a work environment that promotes positivity and enthusiasm.
value05Q02,Q02,value05,Positive Work Place,Seeks to develop,https://postimg.cc/k2FFDqRZ,Ability to work on some of the most challenging problems around; ability to contribute to creating a work environment that drives enthusiasm for our work. Ability to provide care and support to fellow colleagues.,Seeks to develop a relationship of trust and respect with others at work.
value05Q03,Q03,value05,Positive Work Place,Embraces challenging,https://postimg.cc/k2FFDqRZ,Ability to work on some of the most challenging problems around; ability to contribute to creating a work environment that drives enthusiasm for our work. Ability to provide care and support to fellow colleagues.,"Embraces challenging & ambiguous projects/problems with resilience, positivity and self-motivation."
